-26.0,6.0,-48.0,154.0
-24.0,6.0,-48.0,154.0
-22.0,6.0,-48.0,154.0
24.0,6.0,-48.0,49.0
26.0,6.0,-48.0,49.0
28.0,6.0,-48.0,49.0
30.0,6.0,-48.0,49.0
32.0,6.0,-48.0,49.0
-36.0,8.0,-48.0,181.0
-34.0,8.0,-48.0,181.0
-32.0,8.0,-48.0,181.0
-30.0,8.0,-48.0,181.0
-28.0,8.0,-48.0,154.0
-26.0,8.0,-48.0,154.0
-24.0,8.0,-48.0,154.0
-22.0,8.0,-48.0,154.0
26.0,8.0,-48.0,49.0
28.0,8.0,-48.0,49.0
30.0,8.0,-48.0,49.0
-32.0,10.0,-48.0,181.0
-30.0,10.0,-48.0,154.0
-28.0,10.0,-48.0,154.0
-26.0,10.0,-48.0,154.0
-24.0,10.0,-48.0,154.0
32.0,-8.0,-46.0,178.0
34.0,-8.0,-46.0,178.0
36.0,-8.0,-46.0,178.0
38.0,-8.0,-46.0,178.0
44.0,-8.0,-46.0,178.0
46.0,-8.0,-46.0,178.0
48.0,-8.0,-46.0,178.0
28.0,-6.0,-46.0,49.0
30.0,-6.0,-46.0,49.0
32.0,-6.0,-46.0,49.0
34.0,-6.0,-46.0,178.0
36.0,-6.0,-46.0,178.0
38.0,-6.0,-46.0,178.0
40.0,-6.0,-46.0,178.0
42.0,-6.0,-46.0,178.0
44.0,-6.0,-46.0,178.0
46.0,-6.0,-46.0,178.0
48.0,-6.0,-46.0,178.0
50.0,-6.0,-46.0,514.0
-50.0,-4.0,-46.0,429.0
-48.0,-4.0,-46.0,429.0
-46.0,-4.0,-46.0,429.0
-44.0,-4.0,-46.0,181.0
-42.0,-4.0,-46.0,181.0
-40.0,-4.0,-46.0,181.0
-38.0,-4.0,-46.0,181.0
-36.0,-4.0,-46.0,181.0
-34.0,-4.0,-46.0,181.0
-32.0,-4.0,-46.0,181.0
-30.0,-4.0,-46.0,168.0
-28.0,-4.0,-46.0,168.0
26.0,-4.0,-46.0,49.0
28.0,-4.0,-46.0,49.0
30.0,-4.0,-46.0,49.0
32.0,-4.0,-46.0,49.0
34.0,-4.0,-46.0,49.0
36.0,-4.0,-46.0,178.0
38.0,-4.0,-46.0,178.0
40.0,-4.0,-46.0,178.0
42.0,-4.0,-46.0,178.0
44.0,-4.0,-46.0,178.0
